uid,section,name,first_url,phase_hint,status
1,Asosiy sahifa,Статистика посещений сотрудников,https://app2.verifix.com/#/!1iil5zr2/vhr/intro/dashboard,phase-1-attendance,todo
3,Кадры,Сотрудники,https://app2.verifix.com/#/!1iil5zr2/vhr/href/employee/employee_list,phase-1-hr,todo
4,Кадры,Все кадровые документы,https://app2.verifix.com/#/!1iil5zr2/vhr/hpd/journal_list,phase-1-hr,todo
5,Кадры,Все кадровые документы / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1iil5zr2/vhr/hpd/journal_list,phase-1-hr,optional
6,Кадры,Организационная структура,https://app2.verifix.com/#/!1isie2pq/vhr/rep/href/organizational_structure,phase-1-hr,todo
7,Кадры,Физические лица,https://app2.verifix.com/#/!1iutqrem/vhr/href/person/person_list,phase-1-hr,todo
8,Кадры,Физические лица / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1iwbbrum/vhr/href/person/person_add,phase-1-hr,optional
9,Кадры,Уволенные сотрудники,https://app2.verifix.com/#/!1iymogji/vhr/href/employee/dismissed_employee_list,phase-1-hr,todo
10,Кадры,Сотрудники по договору ГПХ,https://app2.verifix.com/#/!1j0y158e/vhr/href/employee/civil_employee_list,phase-1-hr,todo
12,Кадры,Сотрудники / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1j9jmjsu/vhr/href/employee/employee_add,phase-1-hr,optional
13,Кадры,Договор ГПХ,https://app2.verifix.com/#/!1jc6vwla/vhr/hpd/cv_contract_list,phase-1-hr,todo
14,Кадры,Договор ГПХ / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1jc6vwla/vhr/hpd/cv_contract_list,phase-1-hr,optional
15,Кадры,Реестр изменения имени сотрудника,https://app2.verifix.com/#/!1jftv9oe/vhr/hpd/person_name_document_list,phase-1-hr,todo
16,Кадры,Реестр изменения имени сотрудника / СОЗДАТЬ :: СОЗДАТЬ,https://app2.verifix.com/#/!1jhhem66/vhr/hpd/person_name_document+add,phase-1-hr,optional
17,Кадры,Обходные листы,https://app2.verifix.com/#/!1jjsrav2/vhr/hpd/clearance_sheet_list,phase-1-hr,todo
18,Кадры,Все изменения в оплате труда,https://app2.verifix.com/#/!1jmg0nni/vhr/hpd/wage_change_list,phase-1-hr,todo
